name,mean control kernel size,number of attractors,size,number of core nodes,number of isolated fixed points
28187161,6.823529411764706,220,30,27.0,0.0
11082279,2.0,4,11,11.0,0.0
27613445,3.6,22,25,23.0,0.0
21450717_model_5_1_BRX_integration,2.0,4,20,17.0,0.0
23658556_model_8,4.1,12,16,16.0,0.0
21450717_model_2_brassinosteroid,3.0,8,10,3.0,8.0
23658556_model_9,3.25,9,17,17.0,0.0
30323768,3.8,18,21,16.0,0.0
22192526,3.0,7,9,8.0,0.0
20221256_manual_mod,3.6153846153846154,22,11,11.0,0.0
21853041,2.6666666666666665,8,11,11.0,0.0
23169817_high_dna_damage,0.0,1,16,16.0,0.0
31516637_model4,,4,10,10.0,0.0
29596489,2.25,5,23,18.0,0.0
21450717_model_5_2,2.0,4,20,17.0,0.0
25967891,4.1,10,13,12.0,0.0
21639591,2.0,4,25,25.0,0.0
23169817_low_dna_damage,0.0,1,16,16.0,0.0
29186334,5.238095238095238,25,29,16.0,0.0
26244885,8.397435897435898,1104,30,29.0,0.0
24376455,2.0,4,10,9.0,0.0
31516637_model2,,2,10,10.0,0.0
32054948,2.25,6,27,24.0,0.0
25163068,7.26530612244898,241,30,27.0,0.0
20169167,1.0,2,7,7.0,0.0
31516637_model3,,5,10,10.0,0.0
23764028,2.0,4,5,2.0,4.0
21450717_model_1_auxin_core,,5,7,7.0,0.0
31516637_model1,,2,10,10.0,0.0
19524598,2.0,4,12,12.0,0.0
21450717_model_4_1_BRX_integration,,8,20,17.0,0.0
21450717_model_4_2_BRX_integration,3.0,14,20,17.0,0.0
28209158,1.6666666666666667,3,9,9.0,0.0
24564942_threshold,2.6,5,8,8.0,0.0
30148917,4.0,16,18,14.0,0.0
1753781,3.3636363636363638,11,8,8.0,1.0
23469179,3.125,8,10,9.0,0.0
28426669_ARF10_greater_ARF5,3.3,14,16,15.0,0.0
30546316,10.607692307692307,1056,30,21.0,0.0
26346668,2.0,4,30,2.0,4.0
28455685,2.0,4,15,15.0,0.0
28426669_ARF10_smaller_ARF5,3.3,14,16,15.0,0.0
21563979,3.2222222222222223,9,13,13.0,0.0
23658556_model_7,4.5,14,17,17.0,0.0
20659480,1.6666666666666667,4,20,13.0,0.0
23056457,3.8333333333333335,12,17,16.0,0.0
30104572,2.0,3,5,5.0,0.0
23658556_model_6,3.125,8,15,15.0,0.0
30530226,2.0,5,23,19.0,0.0
30024932,2.3333333333333335,6,21,16.0,0.0
23658556_model_4,3.0,10,17,17.0,0.0
23658556_model_5,3.125,8,15,15.0,0.0
23658556_model_1,3.7777777777777777,10,14,14.0,0.0
31949240,5.439024390243903,45,24,21.0,0.0
19622164_TGF_beta1,2.8,7,17,9.0,0.0
21450717_model_3_auxin-brassinosteroid,,36,20,15.0,0.0
19622164_TGF_alpha,2.8,7,17,9.0,0.0
23658556_model_2,3.2,9,16,16.0,0.0
23630177_metastatic_melanoma,2.0,4,10,9.0,0.0
23658556_model_3,3.75,9,15,15.0,0.0
