name,mean control kernel size,number of attractors,size,number of core nodes,number of isolated fixed points
random_6_N10_k2_p0.25_seed738,,4,10,10.0,0.0
random_30_N10_k2_p0.75_seed3690,0.0,1,10,10.0,0.0
random_4_N15_k2_p0.25_seed492,1.0,2,15,14.0,0.0
random_47_N20_k2_p0.75_seed5781,0.0,1,20,12.0,0.0
random_14_N20_k2_p0.5_seed1722,,3,20,17.0,0.0
random_35_N20_k2_p0.5_seed4305,2.0,6,20,18.0,0.0
random_17_N20_k2_p0.5_seed2091,1.0,2,20,19.0,0.0
random_13_N15_k2_p0.75_seed1599,1.0,2,15,13.0,0.0
random_40_N15_k2_p0.25_seed4920,1.0,2,15,15.0,0.0
random_25_N15_k2_p0.75_seed3075,1.0,2,15,12.0,0.0
random_50_N20_k2_p0.5_seed6150,0.0,1,20,13.0,0.0
random_28_N15_k2_p0.5_seed3444,1.0,2,15,15.0,0.0
random_58_N15_k2_p0.25_seed7134,1.0,2,15,11.0,0.0
random_8_N20_k2_p0.25_seed984,0.0,1,20,18.0,0.0
random_15_N10_k2_p0.5_seed1845,2.6666666666666665,6,10,9.0,0.0
random_59_N20_k2_p0.25_seed7257,2.0,6,20,18.0,0.0
random_3_N10_k2_p0.75_seed369,2.0,4,10,10.0,0.0
random_70_N15_k2_p0.75_seed8610,0.0,1,15,13.0,0.0
random_64_N15_k2_p0.25_seed7872,1.0,3,15,11.0,0.0
random_38_N20_k2_p0.75_seed4674,0.0,1,20,14.0,0.0
random_50_N20_k2_p0.25_seed6150,0.0,1,20,17.0,0.0
random_54_N10_k2_p0.75_seed6642,,2,10,9.0,0.0
random_24_N10_k2_p0.25_seed2952,,4,10,8.0,0.0
random_53_N20_k2_p0.75_seed6519,1.0,2,20,15.0,0.0
random_29_N20_k2_p0.75_seed3567,1.0,2,20,16.0,0.0
random_55_N15_k2_p0.5_seed6765,0.0,1,15,13.0,0.0
random_7_N15_k2_p0.5_seed861,0.0,1,15,9.0,0.0
random_0_N10_k2_p0.5_seed0,1.0,2,10,9.0,0.0
random_66_N10_k2_p0.25_seed8118,1.0,2,10,8.0,0.0
random_45_N10_k2_p0.75_seed5535,1.0,2,10,9.0,0.0
random_72_N10_k2_p0.25_seed8856,,2,10,10.0,0.0
random_60_N10_k2_p0.25_seed7380,1.0,2,10,8.0,0.0
random_24_N10_k2_p0.5_seed2952,1.0,2,10,9.0,0.0
random_23_N20_k2_p0.75_seed2829,0.0,1,20,17.0,0.0
random_26_N20_k2_p0.75_seed3198,1.6666666666666667,5,20,12.0,0.0
random_69_N10_k2_p0.25_seed8487,1.0,2,10,9.0,0.0
random_49_N15_k2_p0.5_seed6027,0.0,1,15,14.0,0.0
random_18_N10_k2_p0.25_seed2214,0.0,1,10,10.0,0.0
random_34_N15_k2_p0.25_seed4182,0.0,1,15,14.0,0.0
random_11_N20_k2_p0.5_seed1353,3.0,11,20,18.0,0.0
random_67_N15_k2_p0.25_seed8241,3.6666666666666665,12,15,13.0,0.0
random_20_N20_k2_p0.75_seed2460,0.0,1,20,15.0,0.0
random_69_N10_k2_p0.5_seed8487,2.6666666666666665,10,10,9.0,0.0
random_39_N10_k2_p0.5_seed4797,1.0,2,10,9.0,0.0
random_43_N15_k2_p0.25_seed5289,1.6666666666666667,6,15,10.0,0.0
random_70_N15_k2_p0.5_seed8610,,8,15,14.0,0.0
random_51_N10_k2_p0.25_seed6273,1.5,2,10,10.0,0.0
random_36_N10_k2_p0.5_seed4428,1.0,2,10,9.0,0.0
random_27_N10_k2_p0.75_seed3321,1.0,3,10,7.0,0.0
random_32_N20_k2_p0.25_seed3936,0.0,1,20,17.0,0.0
random_74_N20_k2_p0.25_seed9102,1.0,2,20,19.0,0.0
random_58_N15_k2_p0.5_seed7134,1.0,4,15,14.0,0.0
random_29_N20_k2_p0.5_seed3567,,4,20,15.0,0.0
random_10_N15_k2_p0.75_seed1230,0.0,1,15,13.0,0.0
random_28_N15_k2_p0.25_seed3444,0.0,1,15,13.0,0.0
random_31_N15_k2_p0.75_seed3813,0.0,1,15,10.0,0.0
random_9_N10_k2_p0.75_seed1107,,2,10,8.0,0.0
random_36_N10_k2_p0.25_seed4428,0.0,1,10,10.0,0.0
random_56_N20_k2_p0.75_seed6888,0.0,1,20,16.0,0.0
random_61_N15_k2_p0.75_seed7503,1.6666666666666667,5,15,14.0,0.0
random_74_N20_k2_p0.5_seed9102,2.0,4,20,16.0,0.0
random_8_N20_k2_p0.5_seed984,1.0,4,20,15.0,0.0
random_39_N10_k2_p0.75_seed4797,0.0,1,10,9.0,0.0
random_57_N10_k2_p0.25_seed7011,,2,10,7.0,0.0
random_32_N20_k2_p0.5_seed3936,0.0,1,20,17.0,0.0
random_57_N10_k2_p0.5_seed7011,1.0,2,10,10.0,0.0
random_62_N20_k2_p0.25_seed7626,0.0,1,20,18.0,0.0
random_41_N20_k2_p0.25_seed5043,1.0,3,20,20.0,0.0
random_48_N10_k2_p0.75_seed5904,0.0,1,10,8.0,0.0
random_52_N15_k2_p0.5_seed6396,2.0,7,15,13.0,0.0
random_51_N10_k2_p0.5_seed6273,1.6666666666666667,4,10,10.0,0.0
random_65_N20_k2_p0.75_seed7995,2.0,12,20,15.0,0.0
random_2_N20_k2_p0.5_seed246,0.0,1,20,13.0,0.0
random_19_N15_k2_p0.5_seed2337,1.0,2,15,11.0,0.0
random_0_N10_k2_p0.25_seed0,0.0,1,10,10.0,0.0
random_7_N15_k2_p0.75_seed861,1.0,3,15,12.0,0.0
random_41_N20_k2_p0.5_seed5043,2.0,6,20,17.0,0.0
random_2_N20_k2_p0.25_seed246,,2,20,16.0,0.0
random_12_N10_k2_p0.75_seed1476,0.0,1,10,8.0,0.0
random_4_N15_k2_p0.5_seed492,0.0,1,15,14.0,0.0
random_11_N20_k2_p0.75_seed1353,0.0,1,20,17.0,0.0
random_46_N15_k2_p0.25_seed5658,0.0,1,15,10.0,0.0
random_22_N15_k2_p0.25_seed2706,1.0,2,15,14.0,0.0
random_68_N20_k2_p0.25_seed8364,0.0,1,20,15.0,0.0
random_68_N20_k2_p0.5_seed8364,0.0,1,20,15.0,0.0
random_44_N20_k2_p0.75_seed5412,1.0,5,20,19.0,0.0
random_35_N20_k2_p0.75_seed4305,0.0,1,20,19.0,0.0
random_0_N10_k2_p0.75_seed0,0.0,1,10,10.0,0.0
random_73_N15_k2_p0.25_seed8979,0.0,1,15,10.0,0.0
random_16_N15_k2_p0.75_seed1968,0.0,1,15,12.0,0.0
random_52_N15_k2_p0.75_seed6396,1.0,2,15,13.0,0.0
random_9_N10_k2_p0.5_seed1107,1.0,2,10,8.0,0.0
random_19_N15_k2_p0.75_seed2337,1.0,2,15,14.0,0.0
random_21_N10_k2_p0.75_seed2583,0.0,1,10,10.0,0.0
random_61_N15_k2_p0.5_seed7503,0.0,1,15,15.0,0.0
random_5_N20_k2_p0.25_seed615,1.0,2,20,19.0,0.0
random_3_N10_k2_p0.5_seed369,0.0,1,10,8.0,0.0
random_37_N15_k2_p0.75_seed4551,0.0,1,15,15.0,0.0
random_49_N15_k2_p0.25_seed6027,0.0,1,15,12.0,0.0
random_34_N15_k2_p0.5_seed4182,2.5,7,15,13.0,0.0
random_6_N10_k2_p0.5_seed738,1.0,2,10,10.0,0.0
random_71_N20_k2_p0.5_seed8733,0.0,1,20,12.0,0.0
random_33_N10_k2_p0.25_seed4059,0.0,1,10,8.0,0.0
random_55_N15_k2_p0.25_seed6765,1.0,2,15,14.0,0.0
random_17_N20_k2_p0.75_seed2091,2.0,4,20,17.0,0.0
random_38_N20_k2_p0.5_seed4674,,12,20,18.0,0.0
random_42_N10_k2_p0.25_seed5166,0.0,1,10,7.0,0.0
random_1_N15_k2_p0.25_seed123,0.0,1,15,12.0,0.0
random_63_N10_k2_p0.25_seed7749,0.0,1,10,9.0,0.0
random_15_N10_k2_p0.75_seed1845,0.0,1,10,6.0,0.0
random_33_N10_k2_p0.5_seed4059,1.0,2,10,9.0,0.0
random_71_N20_k2_p0.25_seed8733,1.0,3,20,14.0,0.0
random_14_N20_k2_p0.75_seed1722,0.0,1,20,15.0,0.0
random_21_N10_k2_p0.25_seed2583,1.0,4,10,10.0,0.0
random_73_N15_k2_p0.75_seed8979,0.0,1,15,13.0,0.0
random_16_N15_k2_p0.25_seed1968,0.0,1,15,11.0,0.0
random_52_N15_k2_p0.25_seed6396,0.0,1,15,14.0,0.0
random_35_N20_k2_p0.25_seed4305,,2,20,17.0,0.0
random_19_N15_k2_p0.25_seed2337,1.0,2,15,13.0,0.0
random_5_N20_k2_p0.5_seed615,1.0,2,20,17.0,0.0
random_33_N10_k2_p0.75_seed4059,0.0,1,10,9.0,0.0
random_22_N15_k2_p0.5_seed2706,2.0,3,15,9.0,0.0
random_5_N20_k2_p0.75_seed615,0.0,1,20,17.0,0.0
random_37_N15_k2_p0.25_seed4551,0.0,1,15,14.0,0.0
random_49_N15_k2_p0.75_seed6027,0.0,1,15,13.0,0.0
random_21_N10_k2_p0.5_seed2583,0.0,1,10,9.0,0.0
random_17_N20_k2_p0.25_seed2091,1.0,3,20,17.0,0.0
random_1_N15_k2_p0.75_seed123,0.0,1,15,14.0,0.0
random_42_N10_k2_p0.75_seed5166,0.0,1,10,9.0,0.0
random_55_N15_k2_p0.75_seed6765,1.0,2,15,14.0,0.0
random_59_N20_k2_p0.5_seed7257,0.0,1,20,18.0,0.0
random_71_N20_k2_p0.75_seed8733,0.0,1,20,18.0,0.0
random_14_N20_k2_p0.25_seed1722,,17,20,18.0,0.0
random_46_N15_k2_p0.5_seed5658,1.0,2,15,15.0,0.0
random_63_N10_k2_p0.75_seed7749,0.0,1,10,7.0,0.0
random_15_N10_k2_p0.25_seed1845,1.6666666666666667,4,10,6.0,0.0
random_10_N15_k2_p0.25_seed1230,,2,15,12.0,0.0
random_28_N15_k2_p0.75_seed3444,1.0,2,15,12.0,0.0
random_31_N15_k2_p0.25_seed3813,1.5,3,15,14.0,0.0
random_9_N10_k2_p0.25_seed1107,0.0,1,10,9.0,0.0
random_25_N15_k2_p0.5_seed3075,0.0,1,15,13.0,0.0
random_44_N20_k2_p0.5_seed5412,2.0,8,20,17.0,0.0
random_32_N20_k2_p0.75_seed3936,0.0,1,20,15.0,0.0
random_51_N10_k2_p0.75_seed6273,1.0,2,10,10.0,0.0
random_27_N10_k2_p0.25_seed3321,1.0,2,10,10.0,0.0
random_27_N10_k2_p0.5_seed3321,0.0,1,10,8.0,0.0
random_66_N10_k2_p0.5_seed8118,,2,10,10.0,0.0
random_74_N20_k2_p0.75_seed9102,0.0,1,20,20.0,0.0
random_39_N10_k2_p0.25_seed4797,1.0,2,10,8.0,0.0
random_73_N15_k2_p0.5_seed8979,2.6666666666666665,8,15,11.0,0.0
random_57_N10_k2_p0.75_seed7011,0.0,1,10,10.0,0.0
random_56_N20_k2_p0.25_seed6888,,4,20,19.0,0.0
random_36_N10_k2_p0.75_seed4428,0.0,1,10,7.0,0.0
random_61_N15_k2_p0.25_seed7503,0.0,1,15,11.0,0.0
random_56_N20_k2_p0.5_seed6888,1.0,2,20,17.0,0.0
random_12_N10_k2_p0.5_seed1476,0.0,1,10,10.0,0.0
random_7_N15_k2_p0.25_seed861,1.0,3,15,11.0,0.0
random_62_N20_k2_p0.75_seed7626,0.0,1,20,19.0,0.0
random_65_N20_k2_p0.5_seed7995,1.0,5,20,20.0,0.0
random_48_N10_k2_p0.5_seed5904,1.0,2,10,9.0,0.0
random_65_N20_k2_p0.25_seed7995,1.0,3,20,15.0,0.0
random_72_N10_k2_p0.5_seed8856,0.0,1,10,10.0,0.0
random_41_N20_k2_p0.75_seed5043,1.0,2,20,15.0,0.0
random_48_N10_k2_p0.25_seed5904,1.0,2,10,9.0,0.0
random_18_N10_k2_p0.5_seed2214,1.0,2,10,7.0,0.0
random_44_N20_k2_p0.25_seed5412,0.0,1,20,17.0,0.0
random_60_N10_k2_p0.5_seed7380,0.0,1,10,10.0,0.0
random_22_N15_k2_p0.75_seed2706,0.0,1,15,14.0,0.0
random_68_N20_k2_p0.75_seed8364,2.0,6,20,17.0,0.0
random_12_N10_k2_p0.25_seed1476,0.0,1,10,9.0,0.0
random_2_N20_k2_p0.75_seed246,0.0,1,20,18.0,0.0
random_11_N20_k2_p0.25_seed1353,1.6666666666666667,4,20,16.0,0.0
random_46_N15_k2_p0.75_seed5658,2.4,10,15,14.0,0.0
random_13_N15_k2_p0.5_seed1599,1.0,3,15,12.0,0.0
random_45_N10_k2_p0.5_seed5535,2.3333333333333335,3,10,10.0,0.0
random_53_N20_k2_p0.5_seed6519,2.0,4,20,18.0,0.0
random_66_N10_k2_p0.75_seed8118,0.0,1,10,6.0,0.0
random_45_N10_k2_p0.25_seed5535,0.0,1,10,10.0,0.0
random_72_N10_k2_p0.75_seed8856,1.0,2,10,8.0,0.0
random_53_N20_k2_p0.25_seed6519,1.0,2,20,17.0,0.0
random_24_N10_k2_p0.75_seed2952,0.0,1,10,9.0,0.0
random_40_N15_k2_p0.5_seed4920,0.0,1,15,11.0,0.0
random_29_N20_k2_p0.25_seed3567,0.0,1,20,17.0,0.0
random_26_N20_k2_p0.25_seed3198,0.0,1,20,20.0,0.0
random_16_N15_k2_p0.5_seed1968,1.5,5,15,14.0,0.0
random_64_N15_k2_p0.5_seed7872,0.0,1,15,14.0,0.0
random_69_N10_k2_p0.75_seed8487,0.0,1,10,6.0,0.0
random_23_N20_k2_p0.5_seed2829,1.5,3,20,15.0,0.0
random_60_N10_k2_p0.75_seed7380,1.0,2,10,9.0,0.0
random_23_N20_k2_p0.25_seed2829,,4,20,18.0,0.0
random_1_N15_k2_p0.5_seed123,1.6666666666666667,5,15,14.0,0.0
random_18_N10_k2_p0.75_seed2214,0.0,1,10,9.0,0.0
random_34_N15_k2_p0.75_seed4182,0.0,1,15,15.0,0.0
random_67_N15_k2_p0.75_seed8241,1.0,2,15,12.0,0.0
random_20_N20_k2_p0.25_seed2460,0.0,1,20,20.0,0.0
random_26_N20_k2_p0.5_seed3198,1.0,4,20,13.0,0.0
random_62_N20_k2_p0.5_seed7626,2.0,13,20,17.0,0.0
random_43_N15_k2_p0.75_seed5289,0.0,1,15,12.0,0.0
random_20_N20_k2_p0.5_seed2460,,2,20,16.0,0.0
random_37_N15_k2_p0.5_seed4551,2.0,4,15,12.0,0.0
random_43_N15_k2_p0.5_seed5289,1.0,6,15,12.0,0.0
random_63_N10_k2_p0.5_seed7749,2.0,5,10,7.0,0.0
random_30_N10_k2_p0.25_seed3690,2.0,3,10,9.0,0.0
random_31_N15_k2_p0.5_seed3813,0.0,1,15,10.0,0.0
random_6_N10_k2_p0.75_seed738,0.0,1,10,8.0,0.0
random_4_N15_k2_p0.75_seed492,,2,15,13.0,0.0
random_67_N15_k2_p0.5_seed8241,1.6666666666666667,3,15,14.0,0.0
random_13_N15_k2_p0.25_seed1599,0.0,1,15,13.0,0.0
random_47_N20_k2_p0.25_seed5781,1.0,2,20,20.0,0.0
random_58_N15_k2_p0.75_seed7134,0.0,1,15,13.0,0.0
random_54_N10_k2_p0.5_seed6642,1.6666666666666667,4,10,7.0,0.0
random_8_N20_k2_p0.75_seed984,,2,20,19.0,0.0
random_42_N10_k2_p0.5_seed5166,,8,10,9.0,0.0
random_3_N10_k2_p0.25_seed369,1.0,3,10,9.0,0.0
random_59_N20_k2_p0.75_seed7257,1.0,2,20,17.0,0.0
random_25_N15_k2_p0.25_seed3075,0.0,1,15,12.0,0.0
random_40_N15_k2_p0.75_seed4920,0.0,1,15,11.0,0.0
random_54_N10_k2_p0.25_seed6642,1.0,2,10,9.0,0.0
random_30_N10_k2_p0.5_seed3690,1.0,2,10,7.0,0.0
random_10_N15_k2_p0.5_seed1230,0.0,1,15,11.0,0.0
random_47_N20_k2_p0.5_seed5781,0.0,1,20,15.0,0.0
random_64_N15_k2_p0.75_seed7872,1.0,2,15,15.0,0.0
random_70_N15_k2_p0.25_seed8610,1.0,2,15,11.0,0.0
random_50_N20_k2_p0.75_seed6150,0.0,1,20,14.0,0.0
random_38_N20_k2_p0.25_seed4674,1.0,2,20,15.0,0.0
random_50_tpNone_seed6150,15.577444682369736,16812,20,20.0,256.0
random_3_tpNone_seed369,7.984848484848484,132,10,10.0,24.0
random_19_tpNone_seed2337,5.5,22,10,10.0,1.0
random_12_tpNone_seed1476,5.648648648648648,37,10,10.0,3.0
random_64_tpNone_seed7872,12.73323720259553,1387,20,20.0,11.0
random_59_tp0.5_seed7257,3.5,16,20,20.0,0.0
random_49_tpNone_seed6027,6.7368421052631575,57,15,15.0,1.0
random_31_tpNone_seed3813,7.795454545454546,88,15,15.0,4.0
random_23_tp0.5_seed2829,3.5,8,10,10.0,2.0
random_53_tp0.5_seed6519,13.655083655083654,6216,20,20.0,0.0
random_27_tpNone_seed3321,10.794079794079794,777,15,15.0,36.0
random_0_tp0.5_seed0,6.0,64,10,10.0,0.0
random_38_tpNone_seed4674,8.804878048780488,164,15,15.0,8.0
random_62_tp0.5_seed7626,6.666666666666667,21,20,20.0,0.0
random_15_tpNone_seed1845,4.166666666666667,6,10,10.0,1.0
random_46_tp0.5_seed5658,5.111111111111111,20,15,15.0,4.0
random_26_tp0.5_seed3198,9.523809523809524,672,15,15.0,0.0
random_16_tp0.5_seed1968,0.0,1,10,10.0,0.0
random_64_tp0.5_seed7872,4.0,8,20,20.0,0.0
random_63_tp0.5_seed7749,8.80281690140845,150,20,20.0,0.0
random_36_tpNone_seed4428,5.4375,16,15,15.0,1.0
